epoch,train_loss,val_loss,train_bpr_loss,val_bpr_loss,train_bias_loss,val_bias_loss,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
1,2.037986485163371,2.174823433160782,2.0377057552337647,2.174503833055496,0.0002807387985133876,0.00031963182118488476,0.265625,0.07840428687632084,0.296875,0.062062349170446396,0.40625,0.055429477244615555
2,1.5637180805206299,1.9061711430549622,1.5633885701497396,1.9058095514774323,0.00032951757893897595,0.0003616163303377107,0.296875,0.10018096026033163,0.3359375,0.07643130980432034,0.4140625,0.06237234082072973
3,1.3173635005950928,1.856990486383438,1.31688764890035,1.8565745651721954,0.0004758525018890699,0.0004159515301580541,0.296875,0.10331413894891739,0.3359375,0.07910167798399925,0.4375,0.06680494081228971
4,1.3988514502843221,1.7958507239818573,1.3983776330947877,1.7954242527484894,0.00047382064706956347,0.0004264593153493479,0.296875,0.10319801885634661,0.34375,0.07955408468842506,0.4375,0.06703928112983704
5,1.3336782018343607,1.7819790542125702,1.3331705689430238,1.7814409136772156,0.000507649810363849,0.0005381419687182643,0.28125,0.0995437391102314,0.34375,0.0830708621069789,0.453125,0.06732233241200447
6,1.232571510473887,1.7182273864746094,1.2316847960154216,1.7173051238059998,0.0008867198581962535,0.0009222264488926157,0.3203125,0.09585478529334068,0.3828125,0.08494240511208773,0.5078125,0.0685501229017973
7,1.2459916909535727,1.6330568492412567,1.244304609298706,1.6312296986579895,0.0016870727064087986,0.001827109488658607,0.375,0.10129128582775593,0.4375,0.08225970715284348,0.5234375,0.06978262588381767
8,1.1848952174186707,1.4951554089784622,1.1826419949531555,1.4929731786251068,0.002253239268126587,0.002182230702601373,0.3671875,0.09001112915575504,0.4375,0.0846532629802823,0.53125,0.0702739879488945
9,0.9948832829793294,1.4525471925735474,0.9924279729525248,1.4504235684871674,0.0024553159872690838,0.002123619749909267,0.359375,0.08863916620612144,0.453125,0.08656517043709755,0.53125,0.0685249688103795
10,1.0013657609621684,1.5811998844146729,0.998962155977885,1.5790965259075165,0.0024035895553727944,0.002103331236867234,0.359375,0.08845547959208488,0.453125,0.08593696728348732,0.5234375,0.06863277964293957
11,1.012156105041504,1.4318312406539917,1.0097528258959452,1.4297507405281067,0.0024032725021243097,0.0020804955274797976,0.359375,0.08943339996039867,0.453125,0.08656732365489006,0.5234375,0.0687815798446536
12,0.9939090847969055,1.4113123714923859,0.99161297082901,1.4093462377786636,0.002296118523615102,0.0019661597616504878,0.375,0.10426601395010948,0.4453125,0.08883718401193619,0.53125,0.07229189109057188
13,1.0307864228884378,1.3760254681110382,1.0285588184992471,1.3740933537483215,0.002227610722184181,0.0019321228901389986,0.3671875,0.0924300104379654,0.4453125,0.08794103376567364,0.5390625,0.06982925534248352
14,0.9539275646209717,1.3866727352142334,0.9516194065411886,1.384777456521988,0.002308148533726732,0.0018953010439872742,0.375,0.10422791540622711,0.46875,0.09052663668990135,0.6171875,0.07644076272845268
15,0.8849608103434244,1.3104917407035828,0.88263525168101,1.3085486888885498,0.0023255462447802225,0.0019430611428106204,0.3671875,0.10829045996069908,0.4765625,0.09084411896765232,0.625,0.07982427906244993
16,0.8198724508285522,1.2878676056861877,0.8174991408983866,1.2858569771051407,0.0023733108304440976,0.0020106493757339194,0.359375,0.1064350102096796,0.4765625,0.09012253768742085,0.609375,0.07700544409453869
17,0.8586779554684957,1.3513906300067902,0.8562103470166524,1.3493836522102356,0.002467610485230883,0.002006960698054172,0.359375,0.10661869682371616,0.4765625,0.09021101333200932,0.609375,0.07711084932088852
18,0.873858376344045,1.3250572383403778,0.8715150038401286,1.3230736553668976,0.002343371347524226,0.001983597263460979,0.359375,0.1064350102096796,0.4765625,0.09073336608707905,0.625,0.0788749260827899
